Unload Time: 0, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Big Sky Express, ID Num: C1, Price of Crate: 266, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Yellow Ribbon Logistics, ID Num: C3, Price of Crate: 76, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Dave 'Cargo Cruiser' Williams, Company: Thunderstruck Transports, ID Num: C1, Price of Crate: 247, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Sarah 'Highway Queen' Rodriguez, Company: High Gear Transport, ID Num: C0, Price of Crate: 423, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 0, Trucker: Brad 'Highway Harmony' Lewis, Company: Big Sky Express, ID Num: C1, Price of Crate: 409, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Donna 'High Gear' Garcia, Company: American Freightways, ID Num: C4, Price of Crate: 242, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Amanda 'Storm Chaser' White, Company: Swift Roadways Ltd., ID Num: C3, Price of Crate: 402, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 417, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Todd 'Interstate Instigator' Baker, Company: Sunrise Hauling Co., ID Num: C4, Price of Crate: 113, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Patrick 'Road Rambler' Stewart, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 278, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Big Sky Express, ID Num: C0, Price of Crate: 461, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Yellow Ribbon Logistics, ID Num: C2, Price of Crate: 79, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Dave 'Cargo Cruiser' Williams, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 231, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Brad 'Highway Harmony' Lewis, Company: Big Sky Express, ID Num: C0, Price of Crate: 392, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Donna 'High Gear' Garcia, Company: American Freightways, ID Num: C3, Price of Crate: 454, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Amanda 'Storm Chaser' White, Company: Swift Roadways Ltd., ID Num: C2, Price of Crate: 197, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 416, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Todd 'Interstate Instigator' Baker, Company: Sunrise Hauling Co., ID Num: C3, Price of Crate: 309, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Patrick 'Road Rambler' Stewart, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 385, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 20, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 391, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Angela 'Road Rebel' Adams, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 203, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 20, Trucker: Donna 'High Gear' Garcia, Company: American Freightways, ID Num: C2, Price of Crate: 120, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Amanda 'Storm Chaser' White, Company: Swift Roadways Ltd., ID Num: C1, Price of Crate: 449, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Todd 'Interstate Instigator' Baker, Company: Sunrise Hauling Co., ID Num: C2, Price of Crate: 414, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Jessica 'Breeze Rider' Martin, Company: Redwood Trucking Group, ID Num: C3, Price of Crate: 120, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Rachel 'Gearshift Gladiator' Davis, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 478, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 30, Trucker: Laura 'Interstate Star' Bennett, Company: Green Line Express, ID Num: C0, Price of Crate: 372, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 30, Trucker: Robert 'Cargo Crusader' Foster, Company: Blue Horizon Transports, ID Num: C4, Price of Crate: 206, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Donna 'High Gear' Garcia, Company: American Freightways, ID Num: C1, Price of Crate: 83, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Amanda 'Storm Chaser' White, Company: Swift Roadways Ltd., ID Num: C0, Price of Crate: 345, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 30, Trucker: Jessica 'Breeze Rider' Martin, Company: Interstate Logistics, ID Num: C4, Price of Crate: 434, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Todd 'Interstate Instigator' Baker, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 148, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Wendy 'High Beam' Turner, Company: Interstate Logistics, ID Num: C0, Price of Crate: 351, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Jessica 'Breeze Rider' Martin, Company: Redwood Trucking Group, ID Num: C2, Price of Crate: 57, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Kim 'Midnight Marauder' Parker, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 199, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Robert 'Cargo Crusader' Foster, Company: Blue Horizon Transports, ID Num: C3, Price of Crate: 417, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Donna 'High Gear' Garcia, Company: American Freightways, ID Num: C0, Price of Crate: 339, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Jessica 'Breeze Rider' Martin, Company: Interstate Logistics, ID Num: C3, Price of Crate: 218, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Todd 'Interstate Instigator' Baker, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 319, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 50, Trucker: Jessica 'Breeze Rider' Martin, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 78, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Alan 'Highway Heroic' Wilson, Company: Green Line Express, ID Num: C4, Price of Crate: 140, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Andy 'Truckin' Tornado' Stewart, Company: Pioneer Trucking Solutions, ID Num: C1, Price of Crate: 321, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Kim 'Midnight Marauder' Parker, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 195, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Robert 'Cargo Crusader' Foster, Company: Blue Horizon Transports, ID Num: C2, Price of Crate: 412, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Green Line Express, ID Num: C3, Price of Crate: 440, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Jessica 'Breeze Rider' Martin, Company: Interstate Logistics, ID Num: C2, Price of Crate: 473, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Alex 'Cargo Cruiser' Clark, Company: Blue Horizon Transports, ID Num: C4, Price of Crate: 170, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Jessica 'Breeze Rider' Martin, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 240, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: Alan 'Highway Heroic' Wilson, Company: Green Line Express, ID Num: C3, Price of Crate: 281, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Andy 'Truckin' Tornado' Stewart, Company: Pioneer Trucking Solutions, ID Num: C0, Price of Crate: 351, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: Kim 'Midnight Marauder' Parker, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 493, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: Robert 'Cargo Crusader' Foster, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 398, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: John 'Truckin' Titan' Young, Company: Trucker's Choice Transport, ID Num: C4, Price of Crate: 200, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Green Line Express, ID Num: C2, Price of Crate: 412, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Jessica 'Breeze Rider' Martin, Company: Interstate Logistics, ID Num: C1, Price of Crate: 200, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Amanda 'Steel Thunder' Robinson, Company: Windy City Carriers, ID Num: C0, Price of Crate: 392, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: Alex 'Cargo Cruiser' Clark, Company: Blue Horizon Transports, ID Num: C3, Price of Crate: 194, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Alan 'Highway Heroic' Wilson, Company: Green Line Express, ID Num: C2, Price of Crate: 52, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Robert 'Cargo Crusader' Foster, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 385, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: John 'Truckin' Titan' Young, Company: Trucker's Choice Transport, ID Num: C3, Price of Crate: 168, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Green Line Express, ID Num: C1, Price of Crate: 351, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Jessica 'Breeze Rider' Martin, Company: Interstate Logistics, ID Num: C0, Price of Crate: 333, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: Alex 'Cargo Cruiser' Clark, Company: Blue Horizon Transports, ID Num: C2, Price of Crate: 414, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Jim 'Big Load' Foster, Company: Big Sky Express, ID Num: C1, Price of Crate: 456, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Alan 'Highway Heroic' Wilson, Company: Green Line Express, ID Num: C1, Price of Crate: 487, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: John 'Truckin' Titan' Young, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 451, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Green Line Express, ID Num: C0, Price of Crate: 196, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 80, Trucker: Alex 'Cargo Cruiser' Clark, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 334, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Jim 'Big Load' Foster, Company: Big Sky Express, ID Num: C0, Price of Crate: 184, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 90, Trucker: Alan 'Highway Heroic' Wilson, Company: Green Line Express, ID Num: C0, Price of Crate: 465, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 90, Trucker: Shane 'Rig Rider' Price, Company: Big Sky Express, ID Num: C1, Price of Crate: 305, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Dana 'Mile Marker' Sanchez, Company: Redwood Trucking Group, ID Num: C2, Price of Crate: 69, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Chris 'Haulin' Hope' Martinez, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 133, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: John 'Truckin' Titan' Young, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 252, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Alex 'Cargo Cruiser' Clark, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 210, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Shane 'Rig Rider' Price, Company: Big Sky Express, ID Num: C0, Price of Crate: 245, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Dana 'Mile Marker' Sanchez, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 84, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 100, Trucker: Chris 'Haulin' Hope' Martinez, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 291, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: John 'Truckin' Titan' Young, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 308, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Michelle 'Storm Chaser' Cooper, Company: Interstate Logistics, ID Num: C0, Price of Crate: 67, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Gary 'Cargo Crusader' Lewis, Company: Pioneer Trucking Solutions, ID Num: C2, Price of Crate: 171, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Jason 'Diesel Dynamo' Moore, Company: Patriot Road Warriors, ID Num: C1, Price of Crate: 391, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Shane 'Rig Rider' Price, Company: Starlight Freight Services, ID Num: C4, Price of Crate: 343, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Dana 'Mile Marker' Sanchez, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 310, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 110, Trucker: Gary 'Cargo Crusader' Lewis, Company: Pioneer Trucking Solutions, ID Num: C1, Price of Crate: 323, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Lisa 'Truckin' Tempest' Baker, Company: Green Line Express, ID Num: C3, Price of Crate: 227, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C4, Price of Crate: 330, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Jason 'Diesel Dynamo' Moore, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 339, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 120, Trucker: Shane 'Rig Rider' Price, Company: Starlight Freight Services, ID Num: C3, Price of Crate: 444, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Amanda 'Storm Chaser' White, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 124, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Brian 'Hauling Hope' Reed, Company: Silver Arrow Shipping, ID Num: C4, Price of Crate: 386, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Gary 'Cargo Crusader' Lewis, Company: Highway Haulers Co., ID Num: C3, Price of Crate: 97, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Gary 'Cargo Crusader' Lewis, Company: High Gear Transport, ID Num: C2, Price of Crate: 424, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Gary 'Cargo Crusader' Lewis, Company: Pioneer Trucking Solutions, ID Num: C0, Price of Crate: 300, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 120, Trucker: Lisa 'Truckin' Tempest' Baker, Company: Green Line Express, ID Num: C2, Price of Crate: 444, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C3, Price of Crate: 164, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Shane 'Rig Rider' Price, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 224, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Amanda 'Storm Chaser' White, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 428, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Frank 'Trucker Tornado' Davis, Company: Starlight Freight Services, ID Num: C4, Price of Crate: 252, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Brian 'Hauling Hope' Reed, Company: Silver Arrow Shipping, ID Num: C3, Price of Crate: 119, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Gary 'Cargo Crusader' Lewis, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 263, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Gary 'Cargo Crusader' Lewis, Company: High Gear Transport, ID Num: C1, Price of Crate: 238, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Lisa 'Truckin' Tempest' Baker, Company: Green Line Express, ID Num: C1, Price of Crate: 499, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C2, Price of Crate: 411, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Tom 'Rig Runner' Brown, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 491, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Shane 'Rig Rider' Price, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 382, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Amanda 'Storm Chaser' White, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 256, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 140, Trucker: Frank 'Trucker Tornado' Davis, Company: Starlight Freight Services, ID Num: C3, Price of Crate: 191, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Brian 'Hauling Hope' Reed, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 100, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Gary 'Cargo Crusader' Lewis, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 421, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Gary 'Cargo Crusader' Lewis, Company: High Gear Transport, ID Num: C0, Price of Crate: 388, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 140, Trucker: Lisa 'Truckin' Tempest' Baker, Company: Green Line Express, ID Num: C0, Price of Crate: 151, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 140, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C1, Price of Crate: 384, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Tom 'Rig Runner' Brown, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 480, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: Shane 'Rig Rider' Price, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 123, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: Frank 'Trucker Tornado' Davis, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 417, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Brian 'Hauling Hope' Reed, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 378, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Gary 'Cargo Crusader' Lewis, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 231, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Highway Haulers Co., ID Num: C4, Price of Crate: 103, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 382, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 160, Trucker: Alan 'Highway Heroic' Wilson, Company: Swift Roadways Ltd., ID Num: C2, Price of Crate: 422, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Frank 'Trucker Tornado' Davis, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 106, Scenario: A crate was unloaded, but the truck still has more crates to unload.
